Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
21,Trey Yesavage,21,,0.3,1,0,1.000,3.21,3,3,0,0,0,0,14.0,13,5,5,0,7,0,16,0,0,0,62,136,2.35,1.429,8.4,0.0,4.5,10.3,2.29,,yesavtr01
22,Justin Bruihl*,28,,-0.2,0,0,,5.27,15,0,1,0,0,0,13.2,19,10,8,2,7,3,18,1,0,0,65,83,4.16,1.902,12.5,1.3,4.6,11.9,2.57,,bruihju01
23,José Ureña,33,,0.1,0,0,,3.65,6,2,4,0,0,0,12.1,12,5,5,3,3,0,5,0,0,0,52,120,6.22,1.216,8.8,2.2,2.2,3.6,1.67,,urenajo01
24,Jacob Barnes,35,,-0.4,0,1,.000,9.00,6,0,2,0,0,0,8.0,10,9,8,1,3,0,5,0,0,0,36,49,4.64,1.625,11.3,1.1,3.4,5.6,1.67,,barneja01
25,Lázaro Estrada,26,,-0.3,0,0,,8.59,2,0,0,0,0,0,7.1,10,7,7,2,1,0,10,2,0,0,35,52,5.18,1.500,12.3,2.5,1.2,12.3,10.00,,estrala01
26,Dillon Tate,31,,0.0,0,0,,4.26,6,0,1,0,0,0,6.1,8,3,3,1,6,0,8,1,0,0,34,106,5.98,2.211,11.4,1.4,8.5,11.4,1.33,,tatedi01
27,Spencer Turnbull,32,,-0.2,1,1,.500,7.11,3,1,1,0,0,0,6.1,12,5,5,1,4,0,4,0,0,0,33,63,5.82,2.526,17.1,1.4,5.7,5.7,1.00,,turnbsp01
28,Erik Swanson,31,,-0.4,1,0,1.000,15.19,6,0,2,0,0,0,5.1,8,9,9,2,5,0,3,1,0,1,30,30,10.26,2.438,13.5,3.4,8.4,5.1,0.60,,swanser01
29,Josh Walker*,30,,-0.1,0,0,,7.20,3,0,1,0,0,0,5.0,8,4,4,0,2,0,8,1,0,0,25,63,1.74,2.000,14.4,0.0,3.6,14.4,4.00,,walkejo03
30,Ryan Borucki*,31,,0.2,0,0,,0.00,4,0,1,0,0,0,4.1,3,0,0,0,4,0,5,0,0,0,19,,3.60,1.615,6.2,0.0,8.3,10.4,1.25,,borucry01
31,Tyler Heineman,34,,-0.4,0,0,,32.40,3,0,2,0,0,0,3.1,15,12,12,1,0,0,0,2,0,0,27,15,8.84,4.500,40.5,2.7,0.0,0.0,,,heinety01
32,Casey Lawrence,37,,-0.1,0,0,,10.13,1,0,1,0,0,0,2.2,6,3,3,0,0,0,1,1,0,0,15,48,3.51,2.250,20.3,0.0,0.0,3.4,,,lawreca01
33,Ryan Burr,31,,0.1,1,0,1.000,0.00,2,0,0,0,0,0,2.0,1,0,0,0,1,0,3,0,0,0,8,,1.64,1.000,4.5,0.0,4.5,13.5,3.00,,burrry01
34,Richard Lovelady*,29,,-0.2,0,1,.000,21.60,2,0,0,0,0,0,1.2,2,4,4,0,2,0,3,3,0,0,12,24,8.54,2.400,10.8,0.0,10.8,16.2,1.50,,lovelri01
35,Robinson Piña,26,,-0.1,0,0,,6.75,1,0,0,0,0,0,1.1,4,3,1,0,1,0,1,0,0,0,10,80,3.89,3.750,27.0,0.0,6.8,6.8,1.00,,pinaro01
36,Ali Sánchez,28,,-0.1,0,0,,18.00,1,0,1,0,0,0,1.0,3,2,2,0,0,0,1,0,0,0,6,32,1.14,3.000,27.0,0.0,0.0,9.0,,,sanchal04
37,Michael Stefanic,29,,0.0,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.14,0.000,0.0,0.0,0.0,0.0,,,stefami01
38,Isiah Kiner-Falefa,30,,0.0,0,0,,0.00,1,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,2,,3.14,0.000,0.0,0.0,0.0,0.0,,,kineris01
,Team Totals,,,12.3,94,68,.580,4.19,162,162,160,2,1,42,1438.0,1313,721,669,209,517,25,1430,72,9,32,6089,103,4.27,1.273,8.2,1.3,3.2,8.9,2.77,,-9999
